Year,Category,Nominee,Female,Oscarstat_previousnominations_acting,Oscarstat_previouswins_acting,Winner,Oscarstat_totalnoms,Nom_Oscar_bestfilm,Win_BAFTA,Nom_BAFTA,Win_GoldenGlobe_comedy-leadacting,Nom_GoldenGlobe_comedy-leadacting,Win_GoldenGlobe_drama-leadacting,Nom_GoldenGlobe_drama-leadacting,Win_GoldenGlobe_supportingacting,Nom_GoldenGlobe_supportingacting,Win_Criticschoice,Nom_Criticschoice,Win_SAG_acting,Nom_SAG_acting,Win_SAG_bestcast,Nom_SAG_bestcast,Age_[0-25],Age_[25-35],Age_[35-45],Age_[45-55],Age_[55-65],Age_[65-75],Age_[75+],Rating_IMDB,Rating_rtaudience,Rating_rtcritic,Genre_action,Genre_adventure,Genre_comedy,Genre_crime,Genre_biography,Genre_drama,Genre_fantasy,Genre_sci-fi,Genre_music,Genre_mystery,Genre_romance,Genre_history,Genre_thriller,Genre_sport,Genre_family,Genre_war,Genre_filmnoir,Genre_western
1962,Supporting Actor,Peter Falk,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.3,72,63,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1962,Supporting Actress,Judy Garland,1,0,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.3,93,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1962,Supporting Actress,Rita Moreno,1,0,0,1,11,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.6,84,94,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1962,Supporting Actress,Fay Bainter,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7.8,84,86,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1962,Supporting Actress,Una Merkel,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.9,60,85.07044831,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1962,Supporting Actress,Lotte Lenya,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.6,61,85.07044831,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1963,Actor,Gregory Peck,0,0,0,1,8,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.3,93,91,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1963,Actor,Burt Lancaster,0,1,1,0,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.8,85,82,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1963,Actor,Jack Lemmon,0,1,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.9,88,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1963,Actor,Marcello Mastroianni,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.3,93,100,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
